probe_id,input_j,delta_j,output_i,J_ij_delta_output,baseline_noise_spread,exceeds_noise,expected_relationship,classification,repeatable,evidence_file,note
zoom_+5_(8to13),zoom,+5,programs,1,0,YES,not expected,UNEXPECTED COUPLING,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
zoom_+5_(8to13),zoom,+5,intervalsLive,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
zoom_+5_(8to13),zoom,+5,requests,35,n/a,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
pan_lon_+2.6deg,longitude,+2.6,layers,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
pan_lon_+2.6deg,longitude,+2.6,rafOwnerSites,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
pan_lon_+2.6deg,longitude,+2.6,workerCount,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
pan_lon_+2.6deg,longitude,+2.6,glContexts,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
pan_lon_+2.6deg,longitude,+2.6,canvases,0,2,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
pan_lon_+2.6deg,longitude,+2.6,texLive,8,0,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
pan_lon_+2.6deg,longitude,+2.6,bufLive,12,0,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
pan_lon_+2.6deg,longitude,+2.6,programs,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
pan_lon_+2.6deg,longitude,+2.6,intervalsLive,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
pan_lon_+2.6deg,longitude,+2.6,requests,13,n/a,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
pan_lat_+12deg,latitude,+12,layers,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
pan_lat_+12deg,latitude,+12,rafOwnerSites,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
pan_lat_+12deg,latitude,+12,workerCount,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
pan_lat_+12deg,latitude,+12,glContexts,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
pan_lat_+12deg,latitude,+12,canvases,0,2,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
pan_lat_+12deg,latitude,+12,texLive,54,0,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
pan_lat_+12deg,latitude,+12,bufLive,489,0,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
pan_lat_+12deg,latitude,+12,programs,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
pan_lat_+12deg,latitude,+12,intervalsLive,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
pan_lat_+12deg,latitude,+12,requests,38,n/a,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
bearing_+45,bearing,+45,layers,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
bearing_+45,bearing,+45,rafOwnerSites,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
bearing_+45,bearing,+45,workerCount,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
bearing_+45,bearing,+45,glContexts,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
bearing_+45,bearing,+45,canvases,0,2,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
bearing_+45,bearing,+45,texLive,18,0,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
bearing_+45,bearing,+45,bufLive,164,0,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
bearing_+45,bearing,+45,programs,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
bearing_+45,bearing,+45,intervalsLive,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
bearing_+45,bearing,+45,requests,19,n/a,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
pitch_+45,pitch,+45,layers,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
pitch_+45,pitch,+45,rafOwnerSites,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
pitch_+45,pitch,+45,workerCount,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
pitch_+45,pitch,+45,glContexts,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
pitch_+45,pitch,+45,canvases,0,2,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
pitch_+45,pitch,+45,texLive,12,0,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
pitch_+45,pitch,+45,bufLive,53,0,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
pitch_+45,pitch,+45,programs,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
pitch_+45,pitch,+45,intervalsLive,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
pitch_+45,pitch,+45,requests,21,n/a,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
antimeridian_179.6,longitude,to 179.6,layers,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
antimeridian_179.6,longitude,to 179.6,rafOwnerSites,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
antimeridian_179.6,longitude,to 179.6,workerCount,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
antimeridian_179.6,longitude,to 179.6,glContexts,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
antimeridian_179.6,longitude,to 179.6,canvases,0,2,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
antimeridian_179.6,longitude,to 179.6,texLive,20,0,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
antimeridian_179.6,longitude,to 179.6,bufLive,172,0,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
antimeridian_179.6,longitude,to 179.6,programs,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
antimeridian_179.6,longitude,to 179.6,intervalsLive,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
antimeridian_179.6,longitude,to 179.6,requests,22,n/a,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
highlat_66.5,latitude,to 66.5,layers,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
highlat_66.5,latitude,to 66.5,rafOwnerSites,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
highlat_66.5,latitude,to 66.5,workerCount,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
highlat_66.5,latitude,to 66.5,glContexts,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
highlat_66.5,latitude,to 66.5,canvases,0,2,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
highlat_66.5,latitude,to 66.5,texLive,2,0,YES,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
highlat_66.5,latitude,to 66.5,bufLive,-101,0,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
highlat_66.5,latitude,to 66.5,programs,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
highlat_66.5,latitude,to 66.5,intervalsLive,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
highlat_66.5,latitude,to 66.5,requests,14,n/a,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
model_to_EURO,model,EURO,layers,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
model_to_EURO,model,EURO,rafOwnerSites,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
model_to_EURO,model,EURO,workerCount,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
model_to_EURO,model,EURO,glContexts,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
model_to_EURO,model,EURO,canvases,0,2,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
model_to_EURO,model,EURO,texLive,0,0,no,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
model_to_EURO,model,EURO,bufLive,0,0,no,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
model_to_EURO,model,EURO,programs,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
model_to_EURO,model,EURO,intervalsLive,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
model_to_EURO,model,EURO,requests,8,n/a,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
model_to_ICON,model,ICON,layers,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
model_to_ICON,model,ICON,rafOwnerSites,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
model_to_ICON,model,ICON,workerCount,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
model_to_ICON,model,ICON,glContexts,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
model_to_ICON,model,ICON,canvases,0,2,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
model_to_ICON,model,ICON,texLive,-1,0,YES,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
model_to_ICON,model,ICON,bufLive,0,0,no,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
model_to_ICON,model,ICON,programs,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
model_to_ICON,model,ICON,intervalsLive,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
model_to_ICON,model,ICON,requests,10,n/a,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_waves,layer,waves,layers,5,0,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,PERMANENT style-layer change — does not revert
layer_to_waves,layer,waves,rafOwnerSites,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_waves,layer,waves,workerCount,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_waves,layer,waves,glContexts,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_waves,layer,waves,canvases,2,2,no,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_waves,layer,waves,texLive,-93,0,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_waves,layer,waves,bufLive,-1832,0,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_waves,layer,waves,programs,0,0,no,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_waves,layer,waves,intervalsLive,1,0,YES,not expected,UNEXPECTED COUPLING,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_waves,layer,waves,requests,14,n/a,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_swell1,layer,swell_1,layers,0,0,no,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_swell1,layer,swell_1,rafOwnerSites,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_swell1,layer,swell_1,workerCount,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_swell1,layer,swell_1,glContexts,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_swell1,layer,swell_1,canvases,0,2,no,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_swell1,layer,swell_1,texLive,20,0,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_swell1,layer,swell_1,bufLive,88,0,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_swell1,layer,swell_1,programs,0,0,no,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_swell1,layer,swell_1,intervalsLive,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_swell1,layer,swell_1,requests,2,n/a,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_swell2,layer,swell_2,layers,0,0,no,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_swell2,layer,swell_2,rafOwnerSites,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_swell2,layer,swell_2,workerCount,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_swell2,layer,swell_2,glContexts,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_swell2,layer,swell_2,canvases,0,2,no,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_swell2,layer,swell_2,texLive,18,0,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_swell2,layer,swell_2,bufLive,83,0,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_swell2,layer,swell_2,programs,0,0,no,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_swell2,layer,swell_2,intervalsLive,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_swell2,layer,swell_2,requests,5,n/a,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_watertemp,layer,water_temp,layers,0,0,no,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_watertemp,layer,water_temp,rafOwnerSites,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_watertemp,layer,water_temp,workerCount,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_watertemp,layer,water_temp,glContexts,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_watertemp,layer,water_temp,canvases,0,2,no,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_watertemp,layer,water_temp,texLive,54,0,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_watertemp,layer,water_temp,bufLive,-26,0,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_watertemp,layer,water_temp,programs,1,0,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_watertemp,layer,water_temp,intervalsLive,1,0,YES,not expected,UNEXPECTED COUPLING,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_watertemp,layer,water_temp,requests,100,n/a,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_fog,layer,fog,layers,0,0,no,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_fog,layer,fog,rafOwnerSites,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_fog,layer,fog,workerCount,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
